ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-68-7755-01	-294.37	-610.12	-904.49
TCGA-68-7756-01	-230.82	117.41	-113.42
TCGA-68-7757-01	300.51	334.93	635.44
TCGA-68-8250-01	-388.59	612.42	223.83
TCGA-68-8251-01	466.58	668.93	1135.51
TCGA-68-A59I-01	292.3	781.78	1074.09
TCGA-68-A59J-01	-550.23	689.42	139.19
TCGA-6A-AB49-01	-2114.97	-581.12	-2696.09
TCGA-70-6722-01	595.7	919.39	1515.1
TCGA-70-6723-01	-1592	-927.62	-2519.62
TCGA-77-6842-01	185.32	1732.01	1917.33
TCGA-77-6843-01	-1361.11	-985.18	-2346.29
TCGA-77-6844-01	-946.02	67.21	-878.82
TCGA-77-6845-01	-1095.83	-1043.43	-2139.25
TCGA-77-7138-01	-1036.81	-123.48	-1160.3
TCGA-77-7139-01	-719.15	-186.02	-905.17
TCGA-77-7140-01	-508.55	-513.92	-1022.47
TCGA-77-7141-01	-937.73	-427.67	-1365.41
TCGA-77-7142-01	-361.23	28.09	-333.14
TCGA-77-7335-01	1757.3	2137.29	3894.59
TCGA-77-7337-01	572.18	388.75	960.93
TCGA-77-7338-01	362.65	360.18	722.84
TCGA-77-7463-01	-1059.84	3.75	-1056.1
TCGA-77-7465-01	-289.16	1279.72	990.55
TCGA-77-8007-01	656.29	1595.48	2251.77
TCGA-77-8008-01	1514.55	1233.87	2748.41
TCGA-77-8009-01	-559.73	-336.43	-896.16
TCGA-77-8128-01	-185.18	-1112.47	-1297.66
TCGA-77-8130-01	299.5	-105.27	194.23
TCGA-77-8131-01	831.53	2383.49	3215.02
TCGA-77-8133-01	-454.48	1251.92	797.43
TCGA-77-8136-01	657.03	1510.21	2167.24
TCGA-77-8138-01	214.7	790.55	1005.25
TCGA-77-8139-01	-108.36	61.41	-46.95
TCGA-77-8140-01	-1326.32	-516.46	-1842.79
TCGA-77-8143-01	-1462.18	-189.7	-1651.88
TCGA-77-8144-01	-1108.94	-48.41	-1157.35
TCGA-77-8145-01	525.03	-184.95	340.08
TCGA-77-8146-01	-430.68	198.97	-231.71
TCGA-77-8148-01	-214.04	-141.97	-356.01
TCGA-77-8150-01	-583.77	547.17	-36.61
TCGA-77-8153-01	-1304.56	-1045.84	-2350.4
TCGA-77-8154-01	-1054.21	-938.14	-1992.35
TCGA-77-8156-01	405.16	1495.19	1900.36
TCGA-77-A5FZ-01	1482.1	3087.39	4569.49
TCGA-77-A5G1-01	-159.91	875.55	715.65
TCGA-77-A5G3-01	-728.07	-246.64	-974.7
TCGA-77-A5G6-01	-1294.32	-547.64	-1841.96
TCGA-77-A5G7-01	-1590.81	-592.97	-2183.78
TCGA-77-A5G8-01	-508.37	186.26	-322.11
TCGA-77-A5GA-01	-1069.48	-194.29	-1263.77
TCGA-77-A5GB-01	193.94	870.02	1063.96
TCGA-77-A5GF-01	-503.14	-14.87	-518.01
TCGA-77-A5GH-01	461.22	1743.87	2205.09
TCGA-79-5596-01	-1054.01	-642.05	-1696.06
TCGA-85-6175-01	1713.28	1396.45	3109.73
TCGA-85-6560-01	501.66	810.7	1312.36
TCGA-85-6561-01	1311.09	1436.56	2747.64
TCGA-85-6798-01	-257.86	-755.71	-1013.57
TCGA-85-7696-01	-448.61	9.04	-439.56
TCGA-85-7697-01	-363.76	344.73	-19.04
TCGA-85-7698-01	335.72	533.76	869.49
TCGA-85-7699-01	411.88	1416.13	1828.01
TCGA-85-7710-01	-837.8	440.05	-397.75
TCGA-85-7843-01	99.46	314.79	414.25
TCGA-85-7844-01	370.99	315.9	686.89
TCGA-85-7950-01	535.88	913.51	1449.39
TCGA-85-8048-01	713.78	1838.92	2552.69
TCGA-85-8049-01	985.87	1729.98	2715.85
TCGA-85-8052-01	-636.86	-122.06	-758.92
TCGA-85-8070-01	-1912.11	-1076.64	-2988.75
TCGA-85-8071-01	-1188.35	-399.77	-1588.12
TCGA-85-8072-01	-739.94	350.33	-389.61
TCGA-85-8276-01	816.27	1164.1	1980.37
TCGA-85-8277-01	-839.79	80.91	-758.89
TCGA-85-8287-01	984.73	1400.82	2385.55
TCGA-85-8288-01	361.34	367.51	728.84
TCGA-85-8350-01	29.03	349.41	378.45
TCGA-85-8351-01	-663.36	5.72	-657.64
TCGA-85-8352-01	-1966.62	-1046.75	-3013.37
TCGA-85-8353-01	719.05	779.99	1499.04
TCGA-85-8354-01	-1494.57	-550.06	-2044.63
TCGA-85-8355-01	283.6	2293.27	2576.87
TCGA-85-8479-01	-1257.83	-714.66	-1972.49
TCGA-85-8481-01	350.33	637.94	988.27
TCGA-85-8580-01	-1345.1	101.51	-1243.59
TCGA-85-8582-01	951.44	545.72	1497.16
TCGA-85-8584-01	-305.83	1317.06	1011.23
TCGA-85-8664-01	-1921.34	-713.99	-2635.33
TCGA-85-8666-01	380.39	687.9	1068.29
TCGA-85-A4CL-01	-334.82	1042.6	707.78
TCGA-85-A4CN-01	155.04	4.09	159.13
TCGA-85-A4JB-01	-569.89	-252.82	-822.71
TCGA-85-A4JC-01	25.32	673.93	699.24
TCGA-85-A4PA-01	83.94	3198.31	3282.25
TCGA-85-A4QQ-01	-1301.7	-225.38	-1527.08
TCGA-85-A4QR-01	-2276.75	-1112.59	-3389.34
TCGA-85-A50M-01	-143.39	17.37	-126.03
TCGA-85-A50Z-01	-1015.42	603.41	-412.01
TCGA-85-A510-01	-549.95	580.28	30.33
TCGA-85-A511-01	532.15	662.69	1194.83
TCGA-85-A512-01	-648.19	-223.89	-872.08
TCGA-85-A513-01	691.85	2062.97	2754.82
TCGA-85-A53L-01	-868.59	-298.19	-1166.78
TCGA-85-A5B5-01	-763.35	-587.86	-1351.21
TCGA-90-6837-01	776.06	1274.74	2050.8
TCGA-90-7766-01	-977.52	936.22	-41.29
TCGA-90-7767-01	577.01	1022.12	1599.13
TCGA-90-7769-01	-1276.14	-711.97	-1988.1
TCGA-90-7964-01	-142.99	489.59	346.61
TCGA-90-A4ED-01	-99.08	8.39	-90.7
TCGA-90-A4EE-01	593.74	2286.43	2880.17
TCGA-90-A59Q-01	222.51	1940.05	2162.56
TCGA-92-7340-01	1095.41	879.36	1974.77
TCGA-92-7341-01	31.81	-81.77	-49.96
TCGA-92-8063-01	-221.54	92	-129.54
TCGA-92-8064-01	569.74	1735.21	2304.95
TCGA-92-8065-01	-198.42	1106.67	908.25
TCGA-94-7033-01	-1702.84	-225.49	-1928.33
TCGA-94-7557-01	-383.16	146.09	-237.07
TCGA-94-7943-01	-853.87	97.4	-756.48
TCGA-94-8035-01	-1330.46	-405.22	-1735.68
TCGA-94-8490-01	-1466.18	-809.69	-2275.87
TCGA-94-8491-01	-882.85	726.54	-156.31
TCGA-94-A4VJ-01	-452.92	201.94	-250.98
TCGA-94-A5I4-01	-1068.2	-354.5	-1422.69
TCGA-94-A5I6-01	-633.44	-420.76	-1054.2
TCGA-96-7544-01	848.11	802.32	1650.43
TCGA-96-7545-01	327.42	1071.58	1399
TCGA-96-8169-01	-137.82	581.98	444.16
TCGA-96-8170-01	-283.48	603.12	319.64
TCGA-96-A4JK-01	-517.26	261.98	-255.29
TCGA-96-A4JL-01	311.45	2021.36	2332.82
TCGA-98-7454-01	1544.15	2019.74	3563.9
TCGA-98-8020-01	312.64	715.08	1027.72
TCGA-98-8021-01	-126.69	-172.5	-299.19
TCGA-98-8022-01	-112.76	882.04	769.28
TCGA-98-8023-01	593.15	1338.81	1931.97
TCGA-98-A538-01	-428.95	196.19	-232.76
TCGA-98-A539-01	-396.71	237.9	-158.81
TCGA-98-A53A-01	-1287.46	-489.57	-1777.04
TCGA-98-A53B-01	-456.96	474.31	17.35
TCGA-98-A53C-01	1294.97	2350.47	3645.44
TCGA-98-A53D-01	1258.78	1722.76	2981.54
TCGA-98-A53H-01	1051.79	1719.85	2771.64
TCGA-98-A53I-01	-211.16	1089.69	878.53
TCGA-98-A53J-01	-1264.92	-392.24	-1657.16
TCGA-J1-A4AH-01	-1241.99	-572.61	-1814.6
TCGA-L3-A4E7-01	-512.11	544.17	32.06
TCGA-L3-A524-01	-698.1	-621.87	-1319.97
TCGA-LA-A446-01	-1352.6	-244.08	-1596.69
TCGA-LA-A7SW-01	-771.29	-224.3	-995.6
TCGA-MF-A522-01	-1554.33	-562.65	-2116.98
TCGA-NC-A5HD-01	-1405.83	-1055.5	-2461.32
TCGA-NC-A5HE-01	146.63	2396.54	2543.17
TCGA-NC-A5HF-01	-1536.82	-960.57	-2497.39
TCGA-NC-A5HG-01	-1624.35	-576.91	-2201.25
TCGA-NC-A5HH-01	-1285.66	-573.63	-1859.3
TCGA-NC-A5HI-01	-1578.69	-257.32	-1836.01
TCGA-NC-A5HJ-01	28.34	1794.12	1822.46
TCGA-NC-A5HK-01	-1431.45	-119.52	-1550.98
TCGA-NC-A5HL-01	-779.99	862.69	82.7
TCGA-NC-A5HM-01	-1440.34	107.02	-1333.32
TCGA-NC-A5HN-01	-1489.94	-631.25	-2121.19
TCGA-NC-A5HO-01	-1173.61	32.97	-1140.64
TCGA-NC-A5HP-01	19.96	-521.42	-501.46
TCGA-NC-A5HQ-01	-1061.8	592.34	-469.47
TCGA-NC-A5HR-01	-1416.58	-426.78	-1843.36
TCGA-NC-A5HT-01	-1211.32	-1296.87	-2508.2
TCGA-NK-A5CR-01	-1431.45	-845.58	-2277.03
TCGA-NK-A5CT-01	-1418.92	94.02	-1324.89
TCGA-NK-A5CX-01	-40.02	679.93	639.91
TCGA-NK-A5D1-01	-1410.6	-814.07	-2224.67
TCGA-NK-A7XE-01	-1626.26	-125.7	-1751.95
TCGA-O2-A52N-01	-631.48	389.52	-241.97
TCGA-O2-A52Q-01	90.71	1761.92	1852.63
TCGA-O2-A52S-01	-976.44	420.45	-555.99
TCGA-O2-A52V-01	-340.22	450.54	110.32
TCGA-O2-A52W-01	-1363.11	-169.73	-1532.85
TCGA-O2-A5IB-01	-1568.43	-1311.72	-2880.15
TCGA-XC-AA0X-01	-139.32	1098.81	959.49
